adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/sI6uCeF8mUlZx22mFfHSi9W3XQ9.jpg,"[10749, 18, 35]",843527,en,The Idea of You,"40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet. As they begin a whirlwind romance, it isn't long before Hayes' superstar status poses unavoidable challenges to their relationship, and Solène soon discovers that life in the glare of his spotlight might be more than she bargained for.",120.507,/Y5P4Q3q8nrruZ9aD3wXeJS2Plg.jpg,2024-05-02,The Idea of You,False,7.4,1472
False,/yRKyJJYIzfeiVDHBe4LXguPQCvD.jpg,"[14, 35]",4011,en,Beetlejuice,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,98.335,/nnl6OWkyPpuMm595hmAxNW3rZFn.jpg,1988-03-30,Beetlejuice,False,7.381,7523
False,/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg,"[12, 35, 878]",105,en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",91.025,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,1985-07-03,Back to the Future,False,8.3,19886
False,/wS9TiAS1WckeTS2IrFg5dRN9WQD.jpg,"[35, 14]",72105,en,Ted,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",66.368,/1QVZXQQHCEIj8lyUhdBYd2qOYtq.jpg,2012-06-29,Ted,False,6.433,12259
False,/esIwzihCKlyqT6AjdI3q6WdSi5u.jpg,"[16, 12, 35, 10751, 28, 14]",62177,en,Brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",85.725,/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg,2012-06-21,Brave,False,7.0,13314
False,/qJeU7KM4nT2C1WpOrwPcSDGFUWE.jpg,"[35, 18, 10749, 10402]",313369,en,La La Land,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",85.948,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,2016-11-29,La La Land,False,7.9,16793
False,/bSvUW4JQ6g4QiKvwejcfcPRd4Ke.jpg,"[12, 35, 10751, 14]",118,en,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",94.875,/iKP6wg3c6COUe8gYutoGG7qcPnO.jpg,2005-07-13,Charlie and the Chocolate Factory,False,7.05,15109
False,/en971MEXui9diirXlogOrPKmsEn.jpg,"[28, 12, 35]",293660,en,Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",117.505,/3E53WEZJqP6aM84D8CckXx4pIHw.jpg,2016-02-09,Deadpool,False,7.623,30986
False,/4MWc9Ur80Wo0B1fVVTnV0CoSh6A.jpg,"[12, 14, 10751, 35]",950387,en,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",110.356,/wTxYZNj3NselE9H9dST2GUn4UYE.jpg,2025-04-02,A Minecraft Movie,False,0.0,0
False,/iaNoLnnpQb5SNxGc4bkQmdCvEdG.jpg,"[16, 10751, 35, 14, 12, 10749]",809,en,Shrek 2,"Shrek, Fiona, and Donkey set off to Far, Far Away to meet Fiona's mother and father, the Queen and King. But not everyone is happily ever after. Shrek and the King find it difficult to get along, and there's tension in the marriage. The Fairy Godmother discovers that Fiona has married Shrek instead of her son Prince Charming and plots to destroy their marriage.",116.859,/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg,2004-05-19,Shrek 2,False,7.3,12258
False,/di47xqYMCYpjqwnqNlO17X5qXMX.jpg,"[35, 80]",12153,en,White Chicks,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. To avoid being fired they accept a mission escorting a pair of socialites to the Hamptons--but when the girls are disfigured in a car accident, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from black men into rich white women.",103.254,/aHTUpo45qy9QYIOnVITGGqLoVcA.jpg,2004-06-23,White Chicks,False,6.953,3991
False,/msnknPOg9dx86b0YozXOFP8PgBI.jpg,"[10751, 16, 12, 35]",270946,en,Penguins of Madagascar,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",116.208,/dXbpNrPDZDMEbujFoOxmMNQVMHa.jpg,2014-11-22,Penguins of Madagascar,False,6.529,4127
